feature_columns,fscores
ratio_click_position_slide_9,9.27855635434
positionID_00007203,9.22099200275
ratio_click_position_slide_7,9.07561606321
residence_00000467,8.92130843085
positionID_00000028,8.76859087391
positionID_00007149,8.768433656
ratio_click_user_slide_9,8.75490000624
positionID_00004455,8.75052656169
residence_00000866,8.56923596544
residence_00000262,8.3751718359
positionID_00006778,8.30169073861
positionID_00002339,8.2801832766
hometown_00003002,8.21112432117
hometown_00003152,8.19225016453
hometown_00003147,8.18514219997
connectionType_3,8.17360014651
hometown_00002970,8.17198049258
hometown_00002818,8.13957680073
positionID_00006841,7.89697209479
ratio_click_app_slide_4,7.73963877662
residence_00000538,7.73011278397
positionID_00007243,7.56400493046
positionID_00002354,7.46087896291
positionID_00003034,7.35464459456
positionID_00000486,7.20711148782
ratio_click_user_slide_3,7.17533672047
positionID_00002299,7.16540009835
positionID_00004228,7.08190574154
residence_00000485,6.98873220157
positionID_00002478,6.98413751991
ratio_click_user_slide_7,6.90611121416
ratio_buy_user_slide_8,6.90347738644
positionID_00001085,6.83495847724
positionID_00003376,6.7862873054
ratio_buy_user_slide_9,6.74748533928
positionID_00001933,6.71599800167
positionID_00005594,6.60847818183
ratio_buy_position_slide_4,6.54123263487
residence_00000367,6.53241556787
ratio_click_position_slide_5,6.39187162725
ratio_click_user_slide_2,6.38948939937
ratio_buy_app_slide_3,6.37783824026
positionID_00002179,6.37293532863
ratio_click_app_slide_9,6.37218877719
residence_00000314,6.22855117431
hometown_00002524,6.19613729136
positionID_00003981,6.17229604618
positionID_00005466,6.15827563246
hometown_00000348,6.13110748349
positionID_00000848,6.00361667589
hometown_00002917,6.00219509916
positionID_00005510,5.80344331112
positionID_00005601,5.70481851528
ratio_buy_position_slide_10,5.61088585154
positionID_00002831,5.52253764893
positionID_00006786,5.46612315039
residence_00002092,5.43169690348
hometown_00003036,5.36819580288
positionID_00004292,5.35304207245
hometown_00002765,5.30141886332
positionID_00000777,5.02220641867
positionID_00006690,4.97940895124
positionID_00005614,4.90541398297
positionID_00006634,4.88219570239
positionID_00000766,4.87868475298
positionID_00001983,4.86812907807
residence_00000185,4.86015868375
positionID_00000144,4.7174751531
hometown_00000863,4.69418144696
positionID_00003480,4.68140138353
positionID_00007187,4.66384509169
positionID_00003422,4.65315896228
telecomsOperator_3,4.64350505813
residence_00000813,4.54971692073
positionID_00000836,4.5483867762
marriageStatus_0,4.53704017757
positionID_00003819,4.52793700602
