auc-mean,auc-stdv,binary_logloss-mean,binary_logloss-stdv
0.729789734983,0.00132171216953,0.114254815444,0.0010188222716
0.733196841399,0.00281279528503,0.113159552852,0.00101192345803
0.738776995127,0.00215865607822,0.112230499713,0.00100550755536
0.740475054288,0.00161700107434,0.11145533469,0.000991517904531
0.740673196942,0.00150290131811,0.110780095962,0.000987774368055
0.74230656861,0.0019621784414,0.110183243369,0.000985672132946
0.743791788844,0.00238883419646,0.109674257101,0.000984960236869
0.744233702192,0.00245142574393,0.109222028321,0.000983590565782
0.745251743977,0.00216089044808,0.10880622669,0.000983412076513
0.747085362567,0.00171752803763,0.108459364251,0.000980149730828
0.7483658644,0.00198296314827,0.108158845025,0.000976427596752
0.748904313582,0.00182494490072,0.107852549658,0.000978558302448
0.749981992811,0.00177785469754,0.10756644357,0.000978816248231
0.750287628712,0.00174888895001,0.107302274371,0.000979520898364
0.75052939965,0.00182127146651,0.107057124213,0.000977079148003
0.750665073645,0.00181688477275,0.106836145062,0.000971787848328
0.750966722517,0.00179049094679,0.106630484449,0.000967304354151
0.751174305454,0.00167309293216,0.106442488334,0.000970296954501
0.751716750207,0.00154712792184,0.106257056441,0.000970266577908
0.751797220237,0.00160334967603,0.106090003284,0.00097311722605
0.752354940284,0.00138643245176,0.105942891529,0.000974218964489
0.752660961747,0.00143957801047,0.105796280748,0.0009739417713
0.752936961475,0.00129795740731,0.105655693159,0.000975823630502
0.753113247069,0.00134037796446,0.105529982736,0.000973214550431
0.753229799213,0.0012656018115,0.105418097812,0.000971132366209
0.753484652697,0.00124511012876,0.105306363871,0.000970166336055
0.75384170381,0.00127954854583,0.105197104611,0.000966949548793
0.754368628748,0.00146237987567,0.105089205444,0.000964454703656
0.754544732939,0.00143802539324,0.104997800556,0.000964579536944
0.754687914701,0.0015144734344,0.104911085235,0.00096153143585
0.754916742729,0.00139321187192,0.104830886272,0.000961756315807
0.755177101831,0.00129619387898,0.104753479737,0.000966338855536
0.755408222738,0.00120321046996,0.10468044267,0.000962914354218
0.755661011828,0.00121102741093,0.104614793154,0.000964147560468
0.75590162697,0.0012080274852,0.104547360542,0.000965623102359
0.756043616732,0.00107014481143,0.104487789791,0.000966490864885
